ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CCDD,AREA,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,Informal_P,FAC300_ANUAL
2024,01,43786,1,0032,1,5,202301437861003216,18,1,5,3,1,2, ,2,54,5,5,17,8,1969,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1, ,86.7621147374587
2024,01,43786,1,0032,1,5,202301437861003217,18,1,6,5,1,2, ,1,24,6,6,9,2,1999,1, , , , , , , , , , , , , , , ,3432,7410,2, ,2,2,1,1,0,0,5,5,0,0,0,10, ,10,1, ,1,1,1,1, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,6,1, , , , , , ,217, , ,217,217,217,1,2,63.7169408683967
2024,01,43786,1,0032,1,5,202301437861003214,18,1,7,98, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , 
2024,01,43786,1,0034,1,5,202301437861003411,18,1,1,1,1,2, ,2,37,1,1,15,8,1986,1, , , , , , , , , , , , , , , ,6114,150,2, ,3,2,1,2,10,10,10,10,10,10,10,70, ,70,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1, ,79, , , , ,679, , ,758,758,758,1,1,61.3693727599788
2024,01,43786,1,0034,1,5,202301437861003412,18,1,2,3,1,2, ,2,17,2,2,9,5,2006,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,1,3, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1, ,52.3229792676715
2024,01,43786,1,0034,1,5,202301437861003413,18,1,3,3,1,2, ,2,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , 
2024,01,43786,1,0035,1,5,202301437861003511,18,1,1,1,1,2, ,2,60,1,1,27,11,1963,1, , , , , , , , , , , , , , , ,6114,150,2, ,3,2,1,2,10,10,10,10,10,10,10,70, ,70,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,2,2,1, ,127, , , , ,1387, , ,1514,1514,1514,1,1,123.275497102527
2024,01,43786,1,0035,1,5,202301437861003512,18,1,2,2,1,2, ,1,83,2,2,16,12,1940,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2,2,11, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,3,3, ,2,1,2,2,2,2,10,7,4, , , , , , , , , , , , ,1, ,166.211185649022
2024,01,43839,12,0220,1,3,2024014383912022011,18,1,1,1,1,2, ,2,66,1,1,18,4,1957,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2,2,13,5,4,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,4, ,2,2,2,2,2,2,2,7,4, , , , , , , , , , , , ,1, ,8.3287424079799
2024,01,43839,12,0223,1,3,2024014383912022311,18,1,1,1,1,2, ,2,54,1,1,24,3,1969,2,1, , , , , , , , , , , , , , ,5312,8510,3,2, , ,5,9998,0,0,0,0,0,0,0,0,14,45,2,45,2, ,2,2,4,2200, , , , , ,300,50, , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1, , , ,50,100,2200, , ,300,2550,2200,2650,1,2,7.84421332674005
